driver_id,total_fare,avg_distance
31,218.29,30.475
85,29.42,6.27
28,75.53,1.34
76,7.77,49.27
91,111.87,16.62
13,22.89,3.99
86,85.9,11.37
3,74.68,22.06
40,145.64,29.89
19,44.46,21.82
92,33.5,47.22
43,66.6,38.91
17,19.6,43.81
72,53.02,43.51
35,45.61,14.95
8,72.59,13.34
23,44.7,28.39
51,54.54,44.35
69,153.65,27.79
50,101.49,12.14
38,122.16,4.47
24,134.62,22.26
62,75.66,46.44
95,7.98,13.2
32,53.92,38.46
33,56.36,13.73
71,8.41,35.68
79,219.07999999999998,11.985000000000001
2,37.68,44.33
30,103.92,18.98
46,52.18,26.47
