driver_id,total_fare,avg_distance
31,218.29,30.475
85,84.71000000000001,26.015
28,75.53,1.34
76,103.55,33.495000000000005
44,86.99,11.62
91,237.86,13.425
22,21.55,30.4
1,38.49,4.84
13,22.89,3.99
86,85.9,11.37
3,74.68,22.06
40,145.64,29.89
20,89.76,19.19
94,89.84,3.51
19,44.46,21.82
92,172.4,26.035
15,53.0,14.27
43,66.6,38.91
61,130.22,2.24
17,19.6,43.81
72,53.02,43.51
35,116.56,16.09
59,61.1,19.8
8,72.59,13.34
23,290.75000000000006,32.7825
87,76.7,48.29
51,54.54,44.35
69,219.58,26.373333333333335
63,140.56,11.34
50,101.49,12.14
45,99.84,42.92
38,134.57999999999998,13.32
80,78.97,4.44
24,169.32,18.535
62,75.66,46.44
95,7.98,13.2
32,53.92,38.46
75,132.11,47.3
33,242.61,19.216666666666665
71,8.41,35.68
14,93.78,43.79
79,311.23,8.723333333333334
2,154.79,37.37
30,103.92,18.98
46,52.18,26.47
36,46.56,32.63
