driver_id,total_fare,avg_distance
31,313.85,27.156666666666666
85,84.71000000000001,26.015
65,137.96,14.925
53,33.06,40.48
28,165.39,9.145
76,103.55,33.495000000000005
27,12.35,35.87
44,246.82999999999998,18.966666666666665
12,139.66,25.89
91,237.86,13.425
22,21.55,30.4
93,170.48,30.330000000000002
1,38.49,4.84
13,22.89,3.99
86,85.9,11.37
16,126.39,25.23
3,74.68,22.06
40,145.64,29.89
20,176.82,34.105000000000004
94,237.95,12.535
54,265.19,31.310000000000002
19,44.46,21.82
92,172.4,26.035
41,133.60999999999999,43.92
15,171.25,29.810000000000002
43,66.6,38.91
61,173.37,23.675
17,42.95,42.555
72,151.78000000000003,33.63666666666666
35,116.56,16.09
59,61.1,19.8
8,121.37,23.58
100,48.6,21.16
39,91.51,9.7
23,452.77000000000004,34.37833333333333
49,281.28999999999996,13.4
87,76.7,48.29
51,54.54,44.35
69,219.58,26.373333333333335
63,140.56,11.34
50,142.62,15.77
45,99.84,42.92
38,226.29999999999998,23.169999999999998
82,136.91,37.97
80,78.97,4.44
25,109.53,16.04
24,169.32,18.535
62,75.66,46.44
95,7.98,13.2
21,30.68,1.91
98,172.28,15.715
90,276.61,13.350000000000001
32,53.92,38.46
75,195.36,17.673333333333332
58,6.17,33.79
33,299.11,18.1775
71,8.41,35.68
14,93.78,43.79
79,311.23,8.723333333333334
2,309.35,28.93
30,103.92,18.98
66,19.78,32.64
67,206.77,29.284999999999997
46,52.18,26.47
36,132.87,35.955
89,73.72,15.28
