driver_id,total_fare,avg_distance
31,313.85,27.156666666666666
85,84.71000000000001,26.015
65,137.96,14.925
53,33.06,40.48
28,165.39,9.145
76,103.55,33.495000000000005
27,12.35,35.87
44,299.11,24.23
12,139.66,25.89
91,237.86,13.425
22,21.55,30.4
93,170.48,30.330000000000002
1,38.49,4.84
13,22.89,3.99
6,47.52,20.55
86,205.32,6.404999999999999
16,126.39,25.23
3,74.68,22.06
40,145.64,29.89
20,176.82,34.105000000000004
94,237.95,12.535
54,265.19,31.310000000000002
19,44.46,21.82
92,172.4,26.035
41,133.60999999999999,43.92
15,171.25,29.810000000000002
43,66.6,38.91
61,173.37,23.675
9,67.04,44.0
17,42.95,42.555
72,235.04000000000002,37.519999999999996
35,116.56,16.09
59,61.1,19.8
100,48.6,21.16
8,121.37,23.58
39,91.51,9.7
23,452.77000000000004,34.37833333333333
49,281.28999999999996,13.4
87,76.7,48.29
51,173.57,37.980000000000004
69,219.58,26.373333333333335
63,140.56,11.34
50,178.55,16.223333333333333
45,99.84,42.92
38,226.29999999999998,23.169999999999998
82,136.91,37.97
80,78.97,4.44
25,222.44,27.595
24,169.32,18.535
70,68.09,23.06
62,75.66,46.44
95,149.82,22.189999999999998
21,170.5,16.275
98,172.28,15.715
90,276.61,13.350000000000001
32,53.92,38.46
75,195.36,17.673333333333332
56,85.94,48.67
58,6.17,33.79
33,299.11,18.1775
71,115.25,21.990000000000002
14,93.78,43.79
79,311.23,8.723333333333334
2,309.35,28.93
30,103.92,18.98
99,68.72,8.79
66,112.5,18.935000000000002
67,328.64,32.22333333333333
46,52.18,26.47
36,132.87,35.955
89,73.72,15.28
